date,team_a,team_b,goals_a,goals_b,competition,location,rating_change_a,rating_change_b,rating_a,rating_b,rank_change_a,rank_change_b,rank_a,rank_b
2026-01-03,Senegal,Sudan,3,1,African Nations Cup,Morocco,5,-5,1812,1350,0,0,24,115
2026-01-03,Mali,Tunisia,1,1,African Nations Cup,Morocco,1,-1,1600,1614,0,0,63,61
2026-01-04,Morocco,Tanzania,1,0,African Nations Cup,Morocco,2,-2,1842,1340,0,-4,20,123
2026-01-04,Cameroon,South Africa,2,1,African Nations Cup,Morocco,22,-22,1616,1528,3,-4,61,78
2026-01-05,Nigeria,Mozambique,4,0,African Nations Cup,Morocco,15,-15,1684,1372,0,-4,50,110
2026-01-05,Egypt,Benin,3,1,African Nations Cup,Morocco,18,-18,1640,1410,3,-5,57,97
2026-01-06,Ivory Coast,Burkina Faso,3,0,African Nations Cup,Morocco,37,-37,1664,1534,8,-6,52,76
2026-01-06,Algeria,DR Congo,1,0,African Nations Cup,Morocco,18,-18,1775,1639,3,-4,30,58
2026-01-09,Senegal,Mali,1,0,African Nations Cup,Morocco,11,-11,1823,1589,1,-2,23,66
2026-01-09,Morocco,Cameroon,2,0,African Nations Cup,Morocco,10,-10,1852,1606,1,-1,19,62
2026-01-10,Egypt,Ivory Coast,3,2,African Nations Cup,Morocco,27,-27,1667,1637,6,-6,51,58
2026-01-10,Nigeria,Algeria,2,0,African Nations Cup,Morocco,47,-47,1731,1728,12,-11,38,41
2026-01-14,Senegal,Egypt,1,0,African Nations Cup,Morocco,14,-14,1837,1653,2,-3,21,54
2026-01-14,Morocco,Nigeria,0,0,African Nations Cup,Morocco,-14,14,1838,1745,-1,3,20,35
2026-01-17,Canada,Guatemala,1,0,Friendly,the United States,3,-3,1805,1526,0,-2,25,79
2026-01-17,Egypt,Nigeria,0,0,African Nations Cup,Morocco,6,-6,1659,1739,0,-1,54,36
2026-01-18,Morocco,Senegal,0,1,African Nations Cup,Morocco,-32,32,1806,1869,-4,4,24,17
2026-01-18,Grenada,Jamaica,0,1,Friendly,Grenada,-3,3,1119,1531,-2,0,173,77
2026-01-18,Bolivia,Panama,1,1,Friendly,Bolivia,-1,1,1665,1743,0,0,51,35
2026-01-22,Panama,Mexico,0,1,Friendly,Panama,-10,10,1733,1845,-3,0,38,21
2026-01-25,Bolivia,Mexico,0,1,Friendly,Bolivia,-8,8,1657,1853,-3,1,54,20
2026-01-26,China,Uzbekistan,2,2,Friendly,the United Arab Emirates,7,-7,1410,1728,4,-4,97,40
2026-02-21,Martinique,Jamaica,0,2,Friendly,Martinique,-11,11,1331,1542,-7,3,126,74
2026-02-25,Mexico,Iceland,4,0,Friendly,Mexico,4,-4,1857,1562,0,0,20,71
2026-03-15,Bolivia,Trinidad and Tobago,3,0,Friendly,Bolivia,4,-4,1661,1399,2,0,52,102
2026-03-25,Equatorial Guinea,Kyrgyzstan,1,0,Friendly,Turkey,8,-8,1390,1305,1,-3,105,135
2026-03-25,DR Congo,Bermuda,2,0,Friendly,Mexico,1,-1,1640,1119,0,-1,57,172
2026-03-25,US Virgin Islands,Eastern Samoa,5,2,FIFA Series,Puerto Rico,11,-11,629,377,2,0,229,244
2026-03-25,Puerto Rico,Guam,4,0,FIFA Series,Puerto Rico,3,-3,1137,710,2,0,165,218
2026-03-25,Kazakhstan,Namibia,2,0,FIFA Series,Kazakhstan,11,-11,1421,1300,1,-3,96,137
2026-03-25,Eritrea,Eswatini,2,0,African Nations Cup qualifier,Morocco,36,-36,1175,1175,4,-2,160,160
2026-03-26,Turkey,Romania,1,0,World Cup qualifier,Turkey,5,-5,1885,1637,0,-1,15,57
2026-03-26,Slovakia,Kosovo,3,4,World Cup qualifier,Slovakia,-24,24,1663,1738,-2,7,52,37
2026-03-26,Poland,Albania,2,1,World Cup qualifier,Poland,11,-11,1746,1653,1,-3,35,54
2026-03-26,Saint Martin,Barbados,3,1,CONCACAF Series,Bonaire,17,-17,1020,904,5,-3,181,199
2026-03-26,Dominican Republic,El Salvador,2,2,CONCACAF Series,the Dominican Republic,-3,3,1290,1327,-1,2,142,128
2026-03-26,Czechia,Ireland,2,2,World Cup qualifier,Czechia,-8,8,1723,1696,-4,1,42,48
2026-03-26,Jamaica,New Caledonia,1,0,World Cup qualifier,Mexico,8,-8,1550,1286,1,-3,73,143
2026-03-26,Bonaire,Saint Vincent and the Grenadines,3,1,CONCACAF Series,Bonaire,36,-36,858,1135,5,-4,203,166
2026-03-26,Sweden,Ukraine,3,1,World Cup qualifier,Spain,42,-42,1702,1760,7,-6,46,32
2026-03-26,Cuba,Martinique,2,2,CONCACAF Series,the Dominican Republic,4,-4,1233,1327,0,-2,153,128
2026-03-26,Bolivia,Suriname,2,1,World Cup qualifier,Mexico,9,-9,1670,1431,1,0,51,91
2026-03-26,Anguilla,Bahamas,3,1,CONCACAF Series,the Cayman Islands,27,-27,672,692,2,-4,226,221
2026-03-26,Cayman Islands,British Virgin Islands,1,1,CONCACAF Series,the Cayman Islands,-8,8,798,701,0,2,209,219
2026-03-26,Georgia,Israel,2,2,Friendly,Georgia,-3,3,1647,1634,0,1,55,59
2026-03-26,Italy,Northern Ireland,2,0,World Cup qualifier,Italy,7,-7,1866,1596,0,0,19,63
2026-03-26,Aruba,Macao,4,1,FIFA Series,Rwanda,6,-6,955,589,-1,0,192,233
2026-03-26,Denmark,North Macedonia,4,0,World Cup qualifier,Denmark,8,-8,1872,1584,1,-3,17,67
2026-03-26,Wales,Bosnia and Herzegovina,1,1,World Cup qualifier,Wales,-12,12,1703,1584,-3,2,45,67
2026-03-26,Vietnam,Bangladesh,3,0,Friendly,Vietnam,2,-2,1331,938,2,0,125,194
2026-03-26,Moldova,Lithuania,0,2,Friendly,Moldova,-20,20,1268,1296,-4,6,146,140
2026-03-26,Croatia,Colombia,2,1,Friendly,the United States,12,-12,1944,1986,1,0,9,5
2026-03-26,France,Brazil,2,1,Friendly,the United States,8,-8,2070,1970,0,-1,3,7
2026-03-26,Cyprus,Belarus,0,1,Friendly,Cyprus,-7,7,1295,1503,-5,0,141,82
2026-03-26,Myanmar,Afghanistan,2,1,Asian Cup qualifier,Myanmar,19,-19,964,1016,4,-1,189,182
2026-03-26,South Sudan,Djibouti,4,0,African Nations Cup qualifier,South Sudan,10,-10,1144,905,4,0,164,198
2026-03-26,Gibraltar,Latvia,0,1,European Nations League C/D,Gibraltar,-11,11,1006,1297,-2,5,184,138
2026-03-26,Malta,Luxembourg,0,2,European Nations League C/D,Malta,-29,29,1249,1424,-4,9,149,94
2026-03-26,Liechtenstein,Tanzania,1,0,FIFA Series,Rwanda,28,-28,928,1312,4,-10,196,132
2026-03-26,Lesotho,Seychelles,0,0,African Nations Cup qualifier,South Africa,-16,16,1200,858,-2,1,158,203
2026-03-27,Estonia,Kenya,1,1,FIFA Series,Rwanda,-1,1,1358,1345,0,0,114,117
2026-03-27,China,Curaçao,2,0,FIFA Series,Australia,26,-26,1436,1440,8,-3,91,90
2026-03-27,Uzbekistan,Gabon,3,1,FIFA Series,Uzbekistan,4,-4,1732,1401,0,-1,40,102
2026-03-27,Rwanda,Grenada,4,0,FIFA Series,Rwanda,9,-9,1317,1110,3,-1,131,173
2026-03-27,Algeria,Guatemala,7,0,Friendly,Italy,11,-11,1739,1515,3,-1,37,80
2026-03-27,Indonesia,Saint Kitts and Nevis,4,0,FIFA Series,Indonesia,4,-4,1345,1001,4,-1,117,186
2026-03-27,Chile,Cape Verde,4,2,FIFA Series,New Zealand,12,-12,1743,1549,3,-1,36,73
2026-03-27,Venezuela,Trinidad and Tobago,4,1,FIFA Series,Uzbekistan,7,-7,1722,1392,0,-1,43,104
2026-03-27,Azerbaijan,Saint Lucia,6,1,FIFA Series,Azerbaijan,5,-5,1344,1003,2,-2,120,185
2026-03-27,Australia,Cameroon,1,0,FIFA Series,Australia,5,-5,1779,1601,0,0,29,62
2026-03-27,Mauritius,Somalia,0,0,African Nations Cup qualifier,Mozambique,-7,7,1084,968,1,0,176,190
2026-03-27,Ethiopia,Sao Tome and Principe,3,0,African Nations Cup qualifier,Morocco,16,-16,1280,1040,1,0,146,180
2026-03-27,Bulgaria,Solomon Islands,10,2,FIFA Series,Indonesia,8,-8,1461,1082,2,0,87,178
2026-03-27,Guyana,Dominica,2,0,CONCACAF Series,the Dominican Republic,6,-6,1281,932,0,-1,145,195
2026-03-27,Chad,Burundi,0,4,African Nations Cup qualifier,Chad,-35,35,1085,1274,-4,4,175,147
2026-03-27,New Zealand,Finland,0,2,FIFA Series,New Zealand,-33,33,1552,1542,-5,5,71,75
2026-03-27,Sint Maarten,Belize,3,2,CONCACAF Series,the Dominican Republic,21,-21,977,1084,3,0,188,176
2026-03-27,Benin,Liberia,1,0,Friendly,Morocco,7,-7,1417,1292,-1,-4,100,141
2026-03-27,Saudi Arabia,Egypt,0,4,Friendly,Saudi Arabia,-21,21,1571,1680,-4,2,68,51
2026-03-27,Nigeria,Iran,2,1,Al-Nashama Tournament,Turkey,16,-16,1755,1739,4,-4,32,37
2026-03-27,Switzerland,Germany,3,4,Friendly,Switzerland,-12,12,1885,1922,-1,1,14,11
2026-03-27,Spain,Serbia,3,0,Friendly,Spain,2,-2,2174,1766,0,0,1,30
2026-03-27,Costa Rica,Jordan,2,2,Al-Nashama Tournament,Turkey,2,-2,1635,1687,1,0,59,50
2026-03-27,Argentina,Mauritania,2,1,Friendly,Argentina,0,0,2113,1311,0,-1,2,134
2026-03-27,Russia,Nicaragua,3,1,Friendly,Russia,1,-1,1783,1327,0,-1,28,127
2026-03-27,Netherlands,Norway,2,1,Friendly,the Netherlands,6,-6,1965,1916,0,-1,8,12
2026-03-27,South Africa,Panama,1,1,Friendly,South Africa,3,-3,1531,1730,-1,-3,79,41
2026-03-27,Libya,Niger,0,0,Friendly,Morocco,-1,1,1424,1405,-2,1,94,101
2026-03-27,Guinea,Togo,2,2,Friendly,Morocco,-4,4,1481,1346,0,3,85,116
2026-03-27,Greece,Paraguay,0,1,Friendly,Greece,-11,11,1750,1844,-2,0,33,22
2026-03-27,England,Uruguay,1,1,Friendly,England,-6,6,2036,1896,0,1,4,13
2026-03-27,Austria,Ghana,5,1,Friendly,Austria,3,-3,1821,1506,0,-1,23,81
2026-03-27,Montenegro,Andorra,2,0,Friendly,Montenegro,2,-2,1445,1081,1,0,89,179
2026-03-27,Ecuador,Morocco,1,1,Friendly,Spain,-4,4,1929,1810,0,0,10,24
2026-03-28,Burkina Faso,Guinea-Bissau,5,0,Friendly,Burkina Faso,4,-4,1538,1240,1,0,77,151
2026-03-28,Canada,Iceland,2,2,Friendly tournament,Canada,-11,11,1794,1573,0,2,25,68
2026-03-28,Comoros,Namibia,0,0,FIFA Series,Kazakhstan,-3,3,1371,1303,-2,1,111,135
2026-03-28,Guam,Eastern Samoa,6,0,FIFA Series,Puerto Rico,8,-8,718,369,0,0,217,244
2026-03-28,Puerto Rico,US Virgin Islands,2,0,FIFA Series,Puerto Rico,1,-1,1138,628,0,-1,165,230
2026-03-28,San Marino,Faroe Islands,1,2,Friendly,San Marino,-1,1,832,1382,0,0,207,107
2026-03-28,Hungary,Slovenia,1,0,Friendly,Hungary,7,-7,1705,1688,3,0,44,49
2026-03-28,Scotland,Japan,0,1,Friendly,Scotland,-10,10,1780,1888,-1,2,27,14
2026-03-28,Madagascar,Kyrgyzstan,5,2,Friendly,Turkey,14,-14,1382,1291,5,-6,107,141
2026-03-28,Ivory Coast,South Korea,4,0,Friendly,England,26,-26,1663,1758,4,-4,53,31
2026-03-28,Botswana,Zimbabwe,0,3,Mukuru Tournament,Botswana,-29,29,1256,1371,-4,11,148,111
2026-03-28,Senegal,Peru,2,0,Friendly,France,8,-8,1877,1699,1,-3,17,47
2026-03-28,Tunisia,Haiti,1,0,Friendly tournament,Canada,12,-12,1626,1530,0,-4,61,79
2026-03-28,United States,Belgium,2,5,Friendly,the United States,-17,17,1730,1867,-6,2,40,19
2026-03-28,Mexico,Portugal,0,0,Friendly,Mexico,1,-1,1858,1975,-1,0,21,6
2026-03-29,South Sudan,Djibouti,0,1,African Nations Cup qualifier,South Sudan,-35,35,1109,940,-9,4,173,194
2026-03-29,Bonaire,Saint Martin,0,3,CONCACAF Series,Bonaire,-22,22,836,1042,-3,1,206,180
2026-03-29,British Virgin Islands,Anguilla,4,0,CONCACAF Series,the Cayman Islands,26,-26,727,646,3,-2,216,228
2026-03-29,Cayman Islands,Bahamas,1,0,CONCACAF Series,the Cayman Islands,7,-7,805,685,0,-2,209,223
2026-03-29,Dominican Republic,Cuba,1,1,CONCACAF Series,the Dominican Republic,-6,6,1284,1239,-1,1,143,152
2026-03-29,El Salvador,Martinique,1,0,CONCACAF Series,the Dominican Republic,15,-15,1342,1312,4,-6,123,133
2026-03-29,Aruba,Liechtenstein,4,1,FIFA Series,Rwanda,24,-24,979,904,4,-2,188,198
2026-03-29,Tanzania,Macao,6,0,FIFA Series,Rwanda,1,-1,1313,588,2,0,131,233
2026-03-29,Armenia,Belarus,1,2,Friendly,Armenia,-10,10,1379,1513,-2,1,108,81
2026-03-29,France,Colombia,3,1,Friendly,the United States,11,-11,2081,1975,0,0,3,5
2026-03-29,Lithuania,Georgia,0,2,Friendly,Lithuania,-6,6,1290,1653,-3,1,141,55
2026-03-29,Lesotho,Seychelles,2,1,African Nations Cup qualifier,South Africa,5,-5,1205,853,0,0,158,203
2026-03-29,Saint Vincent and the Grenadines,Barbados,3,2,CONCACAF Series,Bonaire,6,-6,1141,898,2,-1,164,200
