date,team_a,team_b,goals_a,goals_b,competition,location,rating_change_a,rating_change_b,rating_a,rating_b,rank_change_a,rank_change_b,rank_a,rank_b
2023-01-02,Thailand,Cambodia,3,1,Southeast Asian Championship,Thailand,2,-2,1385,877,0,0,107,202
2023-01-02,Philippines,Indonesia,1,2,Southeast Asian Championship,the Philippines,-14,14,1050,1292,-1,0,183,141
2023-01-03,Vietnam,Myanmar,3,0,Southeast Asian Championship,Vietnam,2,-2,1403,898,0,0,102,199
2023-01-03,Malaysia,Singapore,4,1,Southeast Asian Championship,Malaysia,19,-19,1235,1131,5,-3,153,172
2023-01-06,Indonesia,Vietnam,0,0,Southeast Asian Championship,Indonesia,1,-1,1293,1402,0,0,141,102
2023-01-06,Saudi Arabia,Yemen,2,0,Gulf Cup,Iraq,2,-2,1646,1097,1,-1,53,177
2023-01-06,Iraq,Oman,0,0,Gulf Cup,Iraq,-6,6,1569,1573,-2,1,68,67
2023-01-07,Malaysia,Thailand,1,0,Southeast Asian Championship,Malaysia,23,-23,1258,1362,7,-8,146,115
2023-01-07,Qatar,Kuwait,2,0,Gulf Cup,Iraq,11,-11,1588,1304,1,-4,64,135
2023-01-07,Bahrain,United Arab Emirates,2,1,Gulf Cup,Iraq,20,-20,1514,1473,1,-3,79,84
2023-01-08,Estonia,Iceland,1,1,Friendly,Portugal,3,-3,1432,1540,2,-1,93,71
2023-01-09,Vietnam,Indonesia,2,0,Southeast Asian Championship,Vietnam,14,-14,1416,1279,3,0,99,141
2023-01-09,Oman,Yemen,3,2,Gulf Cup,Iraq,2,-2,1575,1095,0,0,67,177
2023-01-09,Iraq,Saudi Arabia,2,0,Gulf Cup,Iraq,28,-28,1597,1618,6,-3,62,56
2023-01-09,Sweden,Finland,2,0,Friendly,Portugal,12,-12,1769,1677,0,-2,30,46
2023-01-10,Thailand,Malaysia,3,0,Southeast Asian Championship,Thailand,17,-17,1379,1241,5,-6,110,152
2023-01-10,Kuwait,United Arab Emirates,1,0,Gulf Cup,Iraq,29,-29,1333,1444,12,-7,123,91
2023-01-10,Bahrain,Qatar,2,1,Gulf Cup,Iraq,24,-24,1538,1564,4,-3,75,68
2023-01-12,Oman,Saudi Arabia,2,1,Gulf Cup,Iraq,22,-22,1597,1596,4,-7,62,63
2023-01-12,Iraq,Yemen,5,0,Gulf Cup,Iraq,2,-2,1599,1093,1,0,61,177
2023-01-12,Sweden,Iceland,2,1,Friendly,Portugal,4,-4,1773,1536,1,-4,29,75
2023-01-12,Estonia,Finland,1,0,Friendly,Portugal,16,-16,1448,1661,2,-4,91,50
2023-01-13,Vietnam,Thailand,2,2,Southeast Asian Championship,Vietnam,-8,8,1408,1387,-2,3,101,107
2023-01-13,Qatar,United Arab Emirates,1,1,Gulf Cup,Iraq,-7,7,1557,1451,0,3,68,89
2023-01-13,Bahrain,Kuwait,1,1,Gulf Cup,Iraq,-11,11,1527,1344,-3,1,77,122
2023-01-16,Thailand,Vietnam,1,0,Southeast Asian Championship,Thailand,16,-16,1403,1392,5,-2,102,103
2023-01-16,Oman,Bahrain,1,0,Gulf Cup,Iraq,16,-16,1613,1511,3,-2,59,79
2023-01-16,Iraq,Qatar,2,1,Gulf Cup,Iraq,12,-12,1611,1545,1,-1,60,69
2023-01-19,Iraq,Oman,3,2,Gulf Cup,Iraq,15,-15,1626,1598,5,-3,55,62
2023-01-25,United States,Serbia,1,2,Friendly,the United States,-12,12,1805,1847,-1,1,24,19
2023-01-28,United States,Colombia,0,0,Friendly,the United States,0,0,1805,1919,0,0,24,12
2023-01-29,Trinidad and Tobago,Saint Martin,2,0,Friendly,Trinidad and Tobago,1,-1,1341,837,0,0,123,208
2023-02-22,Grenada,Barbados,1,1,Friendly,Grenada,-6,6,1129,1013,-1,0,172,185
2023-02-23,French Guiana,Martinique,0,1,Friendly,French Guiana,-12,12,1335,1400,-2,3,123,103
2023-02-24,Grenada,Barbados,2,2,Friendly,Grenada,-6,6,1123,1019,-1,0,173,185
2023-02-25,Malawi,Lesotho,1,1,Friendly,Malawi,-5,5,1289,1225,0,2,140,155
2023-02-25,French Guiana,Martinique,2,2,Friendly,French Guiana,-1,1,1334,1401,0,0,123,103
2023-02-26,Malawi,Lesotho,0,1,Friendly,Malawi,-14,14,1275,1239,-2,1,142,154
2023-02-26,Grenada,Barbados,2,2,Friendly,Grenada,-5,5,1118,1024,0,0,173,185
2023-03-03,Grenada,Saint Lucia,1,2,Friendly,Grenada,-15,15,1103,1060,-1,1,174,183
2023-03-03,Bahamas,Turks and Caicos Islands,1,2,Friendly,the Bahamas,-16,16,841,741,-1,1,206,214
2023-03-04,Saint Barthelemy,Sint Maarten,5,1,Friendly,Saint Barthelemy,17,-17,730,759,0,-1,216,212
2023-03-04,Bahamas,Turks and Caicos Islands,2,0,Friendly,the Bahamas,7,-7,848,734,1,-1,205,215
2023-03-04,Anguilla,Saint Martin,2,2,Friendly,Anguilla,3,-3,617,834,0,0,230,208
2023-03-05,Grenada,Saint Lucia,2,0,Friendly,Grenada,9,-9,1112,1051,1,0,173,183
2023-03-10,Saint Martin,Saint Barthelemy,3,2,Friendly,Saint Martin,5,-5,839,725,1,0,207,216
2023-03-11,Jamaica,Trinidad and Tobago,0,1,Friendly,Jamaica,-17,17,1539,1358,-5,5,73,117
2023-03-12,Guatemala,Panama,1,1,Friendly,the United States,5,-5,1455,1641,3,0,88,53
2023-03-14,Jamaica,Trinidad and Tobago,0,0,Friendly,Jamaica,-7,7,1532,1365,-3,3,76,114
2023-03-15,Bangladesh,Malawi,1,1,Friendly,Saudi Arabia,8,-8,856,1267,0,0,205,142
2023-03-16,Lesotho,Eswatini,0,0,Friendly,Lesotho,-1,1,1238,1297,0,1,154,138
2023-03-19,Ethiopia,Rwanda,1,0,Friendly,Ethiopia,5,-5,1353,1273,2,0,119,141
2023-03-20,Tahiti,New Caledonia,0,2,Friendly,Tahiti,-19,19,1136,1188,-3,4,171,162
