MatchNumber,RoundNumber,DateUtc,Location,HomeTeam,AwayTeam,Group,HomeTeamScore,AwayTeamScore
1,1,2026-06-11 19:00:00Z,Mexico City Stadium,Mexico,South Africa,Group A,,
2,1,2026-06-12 02:00:00Z,Guadalajara Stadium,Korea Republic,Czechia,Group A,,
3,1,2026-06-12 19:00:00Z,Toronto Stadium,Canada,Bosnia and Herzegovina,Group B,,
4,1,2026-06-13 01:00:00Z,Los Angeles Stadium,USA,Paraguay,Group D,,
8,1,2026-06-13 19:00:00Z,San Francisco Bay Area Stadium,Qatar,Switzerland,Group B,,
7,1,2026-06-13 22:00:00Z,New York/New Jersey Stadium,Brazil,Morocco,Group C,,
5,1,2026-06-14 01:00:00Z,Boston Stadium,Haiti,Scotland,Group C,,
6,1,2026-06-14 04:00:00Z,BC Place Vancouver,Australia,Türkiye,Group D,,
10,1,2026-06-14 17:00:00Z,Houston Stadium,Germany,Curaçao,Group E,,
11,1,2026-06-14 20:00:00Z,Dallas Stadium,Netherlands,Japan,Group F,,
9,1,2026-06-14 23:00:00Z,Philadelphia Stadium,Côte d'Ivoire,Ecuador,Group E,,
12,1,2026-06-15 02:00:00Z,Monterrey Stadium,Sweden,Tunisia,Group F,,
14,1,2026-06-15 16:00:00Z,Atlanta Stadium,Spain,Cabo Verde,Group H,,
16,1,2026-06-15 19:00:00Z,Seattle Stadium,Belgium,Egypt,Group G,,
13,1,2026-06-15 22:00:00Z,Miami Stadium,Saudi Arabia,Uruguay,Group H,,
15,1,2026-06-16 01:00:00Z,Los Angeles Stadium,IR Iran,New Zealand,Group G,,
17,1,2026-06-16 19:00:00Z,New York/New Jersey Stadium,France,Senegal,Group I,,
18,1,2026-06-16 22:00:00Z,Boston Stadium,Iraq,Norway,Group I,,
19,1,2026-06-17 01:00:00Z,Kansas City Stadium,Argentina,Algeria,Group J,,
20,1,2026-06-17 04:00:00Z,San Francisco Bay Area Stadium,Austria,Jordan,Group J,,
23,1,2026-06-17 17:00:00Z,Houston Stadium,Portugal,Congo DR,Group K,,
22,1,2026-06-17 20:00:00Z,Dallas Stadium,England,Croatia,Group L,,
21,1,2026-06-17 23:00:00Z,Toronto Stadium,Ghana,Panama,Group L,,
24,1,2026-06-18 02:00:00Z,Mexico City Stadium,Uzbekistan,Colombia,Group K,,
25,2,2026-06-18 16:00:00Z,Atlanta Stadium,Czechia,South Africa,Group A,,
26,2,2026-06-18 19:00:00Z,Los Angeles Stadium,Switzerland,Bosnia and Herzegovina,Group B,,
27,2,2026-06-18 22:00:00Z,BC Place Vancouver,Canada,Qatar,Group B,,
28,2,2026-06-19 01:00:00Z,Guadalajara Stadium,Mexico,Korea Republic,Group A,,
32,2,2026-06-19 19:00:00Z,Seattle Stadium,USA,Australia,Group D,,
30,2,2026-06-19 22:00:00Z,Boston Stadium,Scotland,Morocco,Group C,,
29,2,2026-06-20 01:00:00Z,Philadelphia Stadium,Brazil,Haiti,Group C,,
31,2,2026-06-20 04:00:00Z,San Francisco Bay Area Stadium,Türkiye,Paraguay,Group D,,
35,2,2026-06-20 17:00:00Z,Houston Stadium,Netherlands,Sweden,Group F,,
33,2,2026-06-20 20:00:00Z,Toronto Stadium,Germany,Côte d'Ivoire,Group E,,
34,2,2026-06-21 00:00:00Z,Kansas City Stadium,Ecuador,Curaçao,Group E,,
36,2,2026-06-21 04:00:00Z,Monterrey Stadium,Tunisia,Japan,Group F,,
38,2,2026-06-21 16:00:00Z,Atlanta Stadium,Spain,Saudi Arabia,Group H,,
39,2,2026-06-21 19:00:00Z,Los Angeles Stadium,Belgium,IR Iran,Group G,,
37,2,2026-06-21 22:00:00Z,Miami Stadium,Uruguay,Cabo Verde,Group H,,
