match_id,date,date_utc,team_a,team_b,group,stage,matchday,location,goals_a,goals_b,is_completed
1,2026-06-11 19:00:00+00:00,2026-06-11 19:00:00Z,Mexico,South Africa,Group A,Group Stage,1,Mexico City Stadium,,,False
2,2026-06-12 02:00:00+00:00,2026-06-12 02:00:00Z,Korea Republic,Czechia,Group A,Group Stage,1,Guadalajara Stadium,,,False
3,2026-06-12 19:00:00+00:00,2026-06-12 19:00:00Z,Canada,Bosnia and Herzegovina,Group B,Group Stage,1,Toronto Stadium,,,False
4,2026-06-13 01:00:00+00:00,2026-06-13 01:00:00Z,USA,Paraguay,Group D,Group Stage,1,Los Angeles Stadium,,,False
5,2026-06-14 01:00:00+00:00,2026-06-14 01:00:00Z,Haiti,Scotland,Group C,Group Stage,1,Boston Stadium,,,False
6,2026-06-14 04:00:00+00:00,2026-06-14 04:00:00Z,Australia,Türkiye,Group D,Group Stage,1,BC Place Vancouver,,,False
7,2026-06-13 22:00:00+00:00,2026-06-13 22:00:00Z,Brazil,Morocco,Group C,Group Stage,1,New York/New Jersey Stadium,,,False
8,2026-06-13 19:00:00+00:00,2026-06-13 19:00:00Z,Qatar,Switzerland,Group B,Group Stage,1,San Francisco Bay Area Stadium,,,False
9,2026-06-14 23:00:00+00:00,2026-06-14 23:00:00Z,Côte d'Ivoire,Ecuador,Group E,Group Stage,1,Philadelphia Stadium,,,False
10,2026-06-14 17:00:00+00:00,2026-06-14 17:00:00Z,Germany,Curaçao,Group E,Group Stage,1,Houston Stadium,,,False
11,2026-06-14 20:00:00+00:00,2026-06-14 20:00:00Z,Netherlands,Japan,Group F,Group Stage,1,Dallas Stadium,,,False
12,2026-06-15 02:00:00+00:00,2026-06-15 02:00:00Z,Sweden,Tunisia,Group F,Group Stage,1,Monterrey Stadium,,,False
13,2026-06-15 22:00:00+00:00,2026-06-15 22:00:00Z,Saudi Arabia,Uruguay,Group H,Group Stage,1,Miami Stadium,,,False
14,2026-06-15 16:00:00+00:00,2026-06-15 16:00:00Z,Spain,Cabo Verde,Group H,Group Stage,1,Atlanta Stadium,,,False
15,2026-06-16 01:00:00+00:00,2026-06-16 01:00:00Z,IR Iran,New Zealand,Group G,Group Stage,1,Los Angeles Stadium,,,False
16,2026-06-15 19:00:00+00:00,2026-06-15 19:00:00Z,Belgium,Egypt,Group G,Group Stage,1,Seattle Stadium,,,False
17,2026-06-16 19:00:00+00:00,2026-06-16 19:00:00Z,France,Senegal,Group I,Group Stage,1,New York/New Jersey Stadium,,,False
18,2026-06-16 22:00:00+00:00,2026-06-16 22:00:00Z,Iraq,Norway,Group I,Group Stage,1,Boston Stadium,,,False
19,2026-06-17 01:00:00+00:00,2026-06-17 01:00:00Z,Argentina,Algeria,Group J,Group Stage,1,Kansas City Stadium,,,False
20,2026-06-17 04:00:00+00:00,2026-06-17 04:00:00Z,Austria,Jordan,Group J,Group Stage,1,San Francisco Bay Area Stadium,,,False
21,2026-06-17 23:00:00+00:00,2026-06-17 23:00:00Z,Ghana,Panama,Group L,Group Stage,1,Toronto Stadium,,,False
22,2026-06-17 20:00:00+00:00,2026-06-17 20:00:00Z,England,Croatia,Group L,Group Stage,1,Dallas Stadium,,,False
23,2026-06-17 17:00:00+00:00,2026-06-17 17:00:00Z,Portugal,Congo DR,Group K,Group Stage,1,Houston Stadium,,,False
24,2026-06-18 02:00:00+00:00,2026-06-18 02:00:00Z,Uzbekistan,Colombia,Group K,Group Stage,1,Mexico City Stadium,,,False
25,2026-06-18 16:00:00+00:00,2026-06-18 16:00:00Z,Czechia,South Africa,Group A,Group Stage,2,Atlanta Stadium,,,False
26,2026-06-18 19:00:00+00:00,2026-06-18 19:00:00Z,Switzerland,Bosnia and Herzegovina,Group B,Group Stage,2,Los Angeles Stadium,,,False
27,2026-06-18 22:00:00+00:00,2026-06-18 22:00:00Z,Canada,Qatar,Group B,Group Stage,2,BC Place Vancouver,,,False
28,2026-06-19 01:00:00+00:00,2026-06-19 01:00:00Z,Mexico,Korea Republic,Group A,Group Stage,2,Guadalajara Stadium,,,False
29,2026-06-20 01:00:00+00:00,2026-06-20 01:00:00Z,Brazil,Haiti,Group C,Group Stage,2,Philadelphia Stadium,,,False
30,2026-06-19 22:00:00+00:00,2026-06-19 22:00:00Z,Scotland,Morocco,Group C,Group Stage,2,Boston Stadium,,,False
