name,position,position_group,age,market_value_millions_eur,team_name_tm,season_id,source_url
Emiliano Martínez,Goalkeeper,Goalkeeper,33,15.0,Argentina,2026,https://www.transfermarkt.com/argentinien/kader/verein/3437/plus/0/galerie/0?saison_id=2026
Gerónimo Rulli,Goalkeeper,Goalkeeper,34,8.0,Argentina,2026,https://www.transfermarkt.com/argentinien/kader/verein/3437/plus/0/galerie/0?saison_id=2026
Juan Musso,Goalkeeper,Goalkeeper,32,3.0,Argentina,2026,https://www.transfermarkt.com/argentinien/kader/verein/3437/plus/0/galerie/0?saison_id=2026
Cristian Romero,Centre-Back,Defender,28,50.0,Argentina,2026,https://www.transfermarkt.com/argentinien/kader/verein/3437/plus/0/galerie/0?saison_id=2026
Lisandro Martínez,Centre-Back,Defender,28,40.0,Argentina,2026,https://www.transfermarkt.com/argentinien/kader/verein/3437/plus/0/galerie/0?saison_id=2026
Leonardo Balerdi,Centre-Back,Defender,27,18.0,Argentina,2026,https://www.transfermarkt.com/argentinien/kader/verein/3437/plus/0/galerie/0?saison_id=2026
Facundo Medina,Centre-Back,Defender,27,18.0,Argentina,2026,https://www.transfermarkt.com/argentinien/kader/verein/3437/plus/0/galerie/0?saison_id=2026
Nicolás Otamendi,Centre-Back,Defender,38,1.0,Argentina,2026,https://www.transfermarkt.com/argentinien/kader/verein/3437/plus/0/galerie/0?saison_id=2026
Nicolás Tagliafico,Left-Back,Defender,33,5.0,Argentina,2026,https://www.transfermarkt.com/argentinien/kader/verein/3437/plus/0/galerie/0?saison_id=2026
Nahuel Molina,Right-Back,Defender,28,15.0,Argentina,2026,https://www.transfermarkt.com/argentinien/kader/verein/3437/plus/0/galerie/0?saison_id=2026
Gonzalo Montiel,Right-Back,Defender,29,4.5,Argentina,2026,https://www.transfermarkt.com/argentinien/kader/verein/3437/plus/0/galerie/0?saison_id=2026
Leandro Paredes,Defensive Midfield,Midfield,31,5.0,Argentina,2026,https://www.transfermarkt.com/argentinien/kader/verein/3437/plus/0/galerie/0?saison_id=2026
Enzo Fernández,Central Midfield,Midfield,25,90.0,Argentina,2026,https://www.transfermarkt.com/argentinien/kader/verein/3437/plus/0/galerie/0?saison_id=2026
Alexis Mac Allister,Central Midfield,Midfield,27,80.0,Argentina,2026,https://www.transfermarkt.com/argentinien/kader/verein/3437/plus/0/galerie/0?saison_id=2026
Valentín Barco,Central Midfield,Midfield,21,35.0,Argentina,2026,https://www.transfermarkt.com/argentinien/kader/verein/3437/plus/0/galerie/0?saison_id=2026
Exequiel Palacios,Central Midfield,Midfield,27,25.0,Argentina,2026,https://www.transfermarkt.com/argentinien/kader/verein/3437/plus/0/galerie/0?saison_id=2026
Rodrigo De Paul,Central Midfield,Midfield,32,15.0,Argentina,2026,https://www.transfermarkt.com/argentinien/kader/verein/3437/plus/0/galerie/0?saison_id=2026
Nico Paz,Attacking Midfield,Midfield,21,80.0,Argentina,2026,https://www.transfermarkt.com/argentinien/kader/verein/3437/plus/0/galerie/0?saison_id=2026
Giovani Lo Celso,Attacking Midfield,Midfield,30,10.0,Argentina,2026,https://www.transfermarkt.com/argentinien/kader/verein/3437/plus/0/galerie/0?saison_id=2026
Nico González,Left Winger,Attack,28,24.0,Argentina,2026,https://www.transfermarkt.com/argentinien/kader/verein/3437/plus/0/galerie/0?saison_id=2026
Thiago Almada,Left Winger,Attack,25,20.0,Argentina,2026,https://www.transfermarkt.com/argentinien/kader/verein/3437/plus/0/galerie/0?saison_id=2026
Giuliano Simeone,Right Winger,Attack,23,40.0,Argentina,2026,https://www.transfermarkt.com/argentinien/kader/verein/3437/plus/0/galerie/0?saison_id=2026
Lionel Messi,Right Winger,Attack,38,15.0,Argentina,2026,https://www.transfermarkt.com/argentinien/kader/verein/3437/plus/0/galerie/0?saison_id=2026
Julián Álvarez,Centre-Forward,Attack,26,90.0,Argentina,2026,https://www.transfermarkt.com/argentinien/kader/verein/3437/plus/0/galerie/0?saison_id=2026
Lautaro Martínez,Centre-Forward,Attack,28,85.0,Argentina,2026,https://www.transfermarkt.com/argentinien/kader/verein/3437/plus/0/galerie/0?saison_id=2026
José Manuel López,Centre-Forward,Attack,25,25.0,Argentina,2026,https://www.transfermarkt.com/argentinien/kader/verein/3437/plus/0/galerie/0?saison_id=2026
