date,team_a,team_b,goals_a,goals_b,competition,location
2026-06-12 02:00:00+00:00,Korea Republic,Czechia,2,1,FIFA World Cup,Guadalajara Stadium
2026-06-11 19:00:00+00:00,Mexico,South Africa,2,0,FIFA World Cup,Mexico City Stadium
2026-06-12 19:00:00+00:00,Canada,Bosnia and Herzegovina,1,1,FIFA World Cup,Toronto Stadium
2026-06-13 01:00:00+00:00,USA,Paraguay,4,1,FIFA World Cup,Los Angeles Stadium
2026-06-13 19:00:00+00:00,Qatar,Switzerland,1,1,FIFA World Cup,San Francisco Bay Area Stadium
2026-06-13 22:00:00+00:00,Brazil,Morocco,1,1,FIFA World Cup,New York/New Jersey Stadium
2026-06-14 01:00:00+00:00,Haiti,Scotland,0,1,FIFA World Cup,Boston Stadium
2026-06-14 04:00:00+00:00,Australia,Türkiye,2,0,FIFA World Cup,BC Place Vancouver
2026-06-14 17:00:00+00:00,Germany,Curaçao,7,1,FIFA World Cup,Houston Stadium
2026-06-14 20:00:00+00:00,Netherlands,Japan,2,2,FIFA World Cup,Dallas Stadium
2026-06-14 23:00:00+00:00,Côte d'Ivoire,Ecuador,1,0,FIFA World Cup,Philadelphia Stadium
2026-06-15 02:00:00+00:00,Sweden,Tunisia,5,1,FIFA World Cup,Monterrey Stadium
