feature,importance_goals_a,importance_goals_b,avg_importance
rank_diff,0.4835176382837267,0.46355900080125906,0.47353831954249287
elo_diff,0.1369758834576027,0.13076341170395084,0.13386964758077677
rating_a_before,0.0366771181113629,0.10401380664583998,0.07034546237860144
rating_b_before,0.06662021407416749,0.028751136584780516,0.047685675329474
avg_player_value_diff,0.030924838505900425,0.02012454299835527,0.02552469075212785
weighted_goals_for_diff_last5,0.022871137484470824,0.022622001366090345,0.022746569425280583
opponent_strength_diff_last5,0.02207685163497276,0.022953996886196235,0.022515424260584498
log_market_value_a,0.020525843783183166,0.023850224161248754,0.02218803397221596
weighted_goals_against_diff_last5,0.0207406424171533,0.0206830120566556,0.02071182723690445
team_a_matches_played_before,0.017890175471183378,0.021081276466698193,0.019485725968940784
market_value_rel_mean_diff,0.019728826085530917,0.01917816437018716,0.01945349522785904
team_b_matches_played_before,0.016974688728979438,0.02141238890335885,0.019193538816169142
rating_change_diff_last5,0.017566773703650645,0.0164997094829804,0.017033241593315523
defender_share_diff,0.014124156174353584,0.018637668236833056,0.01638091220559332
goalkeeper_share_diff,0.013028730648793596,0.01682007581810322,0.01492440323344841
team_b_days_since_last_match,0.013540720924146973,0.010765542290794508,0.012153131607470741
team_a_days_since_last_match,0.013276421635598234,0.009717797294581122,0.011497109465089677
tournament_goal_diff_diff,0.009875145615811905,0.008377529752502184,0.009126337684157045
tournament_points_diff,0.007920793488668981,0.008098450047809897,0.008009621768239439
team_b_tournament_matches_played,0.007232289121848568,0.0064820617656222,0.006857175443735384
team_a_tournament_matches_played,0.0079111106488934,0.00560820236615253,0.006759656507522965
